path,total_conversions,total_conversion_value,total_null
eta > eta,1,2.332,2
theta > eta,1,1.5730000000000002,2
iota > alpha > lambda > lambda > alpha,1,11.46,3
iota > eta,0,0.0,2
alpha > alpha > alpha > alpha > alpha > alpha > iota > lambda > lambda > alpha,1,3.0460000000000003,2
iota > iota,1,3.608,2
theta > iota > lambda > lambda > lambda > zeta > lambda > lambda > lambda,1,2.415,3
beta > eta > beta > beta > eta > beta > epsilon,0,0.0,2
beta > beta > eta > beta > theta > beta,1,2.931,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > alpha > eta > eta,1,4.0169999999999995,2
beta > beta > beta > eta > eta > eta > eta,1,2.5,2
eta > iota > theta,1,5.46,2
iota > iota,24,128.822117647059,114
beta > eta > beta > eta,0,0.0,3
eta > lambda,2,1.535,5
beta > beta > beta > beta > beta > beta > alpha,1,4.05,2
iota > beta > epsilon > iota > iota,1,3.96,3
eta,1,2.28,3
iota > iota,98,351.759811023622,371
iota > lambda > iota > lambda > iota > lambda > alpha,1,1.9,2
theta > alpha > alpha > iota > iota > iota > gamma > theta,2,29.820999999999998,6
iota > beta,1,1.2,3
iota > eta > alpha > lambda,1,1.695,2
iota > iota > iota > iota > iota > iota,0,0.0,3
iota > iota > iota > lambda > eta,1,1.882,3
iota > theta > iota > iota,0,0.0,3
iota > beta,0,0.0,2
iota > iota > iota > lambda > lambda > alpha > alpha > lambda > alpha,0,0.0,2
iota > theta > gamma > eta,0,0.0,3
beta > iota > beta > beta > iota > iota > iota > beta > beta > iota > iota > beta > iota > beta > iota > iota > iota > zeta,1,6.52,2
iota > iota,3,16.98,13
beta > beta,0,0.0,2
beta > eta > theta,0,0.0,2
alpha > theta > iota > beta > beta > eta > beta > eta,1,2.468,3
iota > alpha > iota > alpha > lambda,1,3.615,2
iota > iota > eta,0,0.0,3
beta > beta > eta > beta > eta,1,5.507999999999999,2
iota > eta > iota > beta > eta > iota > eta,1,2.18,3
eta,1,3.0589999999999997,2
eta,2,7.409,5
epsilon > epsilon > alpha > epsilon,1,0.315,3
eta > eta > eta > eta > beta > eta > eta > eta > eta,1,3.7,3
beta > beta > theta > beta > beta > theta > kappa > kappa,1,2.04,3
eta,3,6.5208,15
iota > iota > eta > eta,1,1.357,3
eta,1,2.6689999999999996,8
beta > eta > beta > eta,1,2.3,2
beta > lambda,1,2.15,2
theta > alpha > lambda > lambda > lambda > lambda > theta > lambda,1,8.134,2
beta,4,17.3896,15
eta > iota > eta > iota,1,4.34,2
eta > beta > eta > eta > eta,1,2.515,3
iota > iota > eta > iota,1,8.212,2
iota > alpha > iota > iota > beta > eta > iota > iota,1,2.833,2
beta > beta > beta > beta > iota > iota > iota > beta,1,6.196000000000001,3
beta > eta > beta > eta > eta > zeta > iota,1,10.523,3
eta,0,0.0,2
iota > lambda > iota > theta > iota > theta,1,3.25,3
beta > beta > beta > eta > beta > alpha > eta > beta > eta,1,2.784,2
iota > iota > eta > iota > beta > iota,1,7.6,3
beta > eta > beta > eta > beta,1,8.386000000000001,2
iota > theta > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota,1,1.9680000000000002,3
lambda > lambda > alpha > iota > gamma,1,1.4469999999999998,2
eta > eta,1,11.293,3
beta > eta,1,3.7039999999999997,2
eta > lambda,1,1.35,2
eta > alpha > alpha > eta,0,0.0,2
iota > beta > iota > iota > beta > iota > iota > iota > zeta > zeta > eta,1,1.9880000000000002,2
eta > eta > eta > eta,1,2.787,3
eta > eta,2,3.64533333333333,8
iota > beta > iota > theta > alpha > iota > iota > iota > iota,1,3.045,3
eta > eta > eta > eta > eta > eta > eta > eta > eta > eta > eta > eta,1,1.058,2
eta > alpha,1,6.108,3
beta > iota > iota > iota > eta,1,0.04,2
theta > iota > eta > eta,1,4.913,3
iota > lambda > theta > beta > eta > alpha > lambda > beta > alpha > lambda > eta,1,3.2539999999999996,2
beta > eta,11,25.131615384615397,45
eta > eta > zeta > eta > eta > epsilon > eta > epsilon > eta > eta > eta,1,2.9930000000000003,3
eta,1,4.04,3
theta > beta > alpha > theta,1,9.206,2
iota > iota > iota > iota,1,3.17,2
eta > alpha > alpha > alpha,1,3.36,2
iota > iota > eta,1,4.1,3
lambda > eta,1,2.34,2
beta,1,4.11,3
beta > beta,1,2.1390000000000002,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > beta > beta > epsilon > beta > beta > epsilon > beta > beta > beta > epsilon,0,0.0,2
beta > beta > lambda,1,26.766,3
eta > eta > eta > alpha,1,5.18,2
iota > lambda > iota,1,11.318,3
eta > eta > eta,0,0.0,2
alpha > iota > iota > theta,0,0.0,3
eta > epsilon,0,0.0,2
beta > lambda > beta > theta,1,2.74,3
theta > beta > beta > iota > iota > iota > iota,1,3.0,3
iota > iota > alpha > theta,1,4.553,3
theta > alpha > theta > eta > theta > epsilon > theta,1,2.244,2
beta > eta > beta,1,6.6979999999999995,2
lambda > eta > iota > alpha,2,8.124,5
beta > beta > beta > beta > eta > iota > alpha,0,0.0,3
iota > iota > iota > iota > eta > alpha,1,7.678,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > eta > iota > iota > beta > eta,1,2.174,3
beta > beta > lambda > theta > zeta > beta > beta > zeta > zeta > alpha > alpha > alpha > alpha > zeta > alpha > alpha,0,0.0,3
iota > iota > iota > iota > iota > iota > lambda > lambda > lambda > zeta > alpha > epsilon > eta > iota > alpha,1,7.96,2
beta > beta > beta > lambda > beta,1,2.8960000000000004,3
eta > beta,1,5.0,2
beta > beta > iota,1,2.273,3
eta,1,8.64,2
eta > beta > eta,0,0.0,3
beta > beta > eta,1,2.6830000000000003,2
beta > zeta > alpha,1,4.643,3
beta > eta,0,0.0,3
beta > eta,0,0.0,2
beta > alpha > alpha,1,3.375,3
theta > lambda > lambda > theta > alpha > alpha > theta > theta > epsilon > theta > epsilon > alpha > alpha > theta > epsilon,0,0.0,3
eta > epsilon > alpha,1,2.5140000000000002,3
eta > alpha,1,17.672,3
eta > alpha,0,0.0,2
iota > alpha > iota > alpha > alpha > alpha,1,17.0,3
beta > alpha > alpha > theta > epsilon,1,7.832000000000001,3
lambda > beta > eta > lambda > lambda > theta > lambda > theta > epsilon > lambda > lambda,1,1.916,2
beta,1,1.368,3
iota > beta > beta > theta > epsilon,1,4.05,2
iota > beta > iota > alpha,0,0.0,2
lambda > alpha > theta > iota > lambda > lambda > lambda > lambda > iota > lambda > zeta > alpha > alpha,0,0.0,2
eta > alpha > iota > alpha,1,1.4,3
iota > iota > theta > beta > gamma > iota > lambda > epsilon > lambda > iota > beta > alpha > alpha,1,3.06,2
theta > iota > alpha > iota > theta,1,1.88,3
eta > eta > eta > eta,0,0.0,2
beta > beta > eta > zeta > beta > eta > kappa > lambda,1,4.297,2
iota > eta,0,0.0,3
eta > alpha > alpha,3,15.619000000000002,10
iota > theta > eta > theta > alpha,1,11.544,2
iota > iota > iota > iota > theta > alpha > iota > iota > iota > iota > iota > iota > iota,1,17.749000000000002,3
eta > eta > eta > epsilon > eta > alpha > iota > iota > eta > lambda > alpha > eta > alpha,1,7.97,3
lambda > kappa > alpha > alpha > epsilon,1,5.406000000000001,2
beta > beta > iota > epsilon > zeta > alpha > epsilon > lambda,1,3.585,3
eta > eta,1,12.6,2
beta > iota,1,4.28,2
lambda > lambda > iota > lambda > lambda > beta > alpha > lambda > lambda > lambda > lambda > epsilon,1,4.419,3
eta > eta > eta > eta > eta > eta > beta > zeta > alpha,0,0.0,3
beta > eta > eta > alpha > theta > alpha > eta,0,0.0,3
theta > eta > eta > theta > theta > theta > iota > theta > iota > epsilon > iota > iota,1,1.0,2
eta,1,4.742,2
eta > alpha,1,4.567,2
beta > eta,1,7.337000000000001,3
beta > beta > eta,0,0.0,3
iota > iota > zeta > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota,1,3.0069999999999997,2
eta,2,0.98,5
iota > iota > iota > beta > eta > eta > iota > eta > eta > eta > eta,1,4.851,3
iota > iota > beta,0,0.0,3
beta > lambda > eta > epsilon,0,0.0,2
eta,0,0.0,3
beta > theta,1,6.386,2
beta > eta > beta > eta,3,5.226,10
iota > iota > beta > beta > beta,1,3.95,2
eta > iota > eta,1,2.306,3
iota > eta > beta > eta > beta > eta > eta > theta > eta > eta > eta > eta > eta > eta > theta > iota > theta > theta > theta > eta > theta > beta > beta > beta > beta > eta > theta > iota > eta > beta > eta > eta > beta > eta > theta > beta > theta > beta,1,3.825,3
iota > iota > zeta > iota > beta > beta > beta > beta > iota > iota > epsilon,1,3.6,2
lambda > beta > iota > lambda > alpha > epsilon > alpha > alpha > alpha > alpha > alpha > alpha,1,8.238,2
eta,1,3.9560000000000004,2
iota > eta,0,0.0,3
kappa > alpha > alpha > alpha,1,6.72,3
iota > eta,2,11.35,6
iota > theta > alpha > theta > iota > theta > iota > theta > theta > alpha > theta > alpha > iota > alpha > alpha > alpha > iota > theta > beta > eta > beta > eta > theta > alpha,0,0.0,3
theta > alpha > alpha > alpha > epsilon > alpha > theta > epsilon > alpha > theta,1,4.138,3
iota > theta > eta > iota > iota > alpha > alpha,1,4.65,2
eta > eta > iota > lambda > zeta > eta > iota > eta > beta > beta > iota > eta,1,5.18,2
beta > beta > beta > beta > eta > epsilon,0,0.0,3
lambda > lambda > lambda > theta > lambda > lambda > beta > theta > epsilon > alpha,1,4.585,3
eta,0,0.0,3
eta > eta,2,5.224,6
beta > beta > beta > beta > iota > epsilon,1,14.099,2
theta > theta > alpha > alpha > alpha > theta > alpha,5,10.574375,20
iota > iota > alpha > iota > iota > theta > iota > theta > theta,2,3.6666666666666696,7
theta > theta > alpha > theta > alpha > theta > kappa > theta,1,7.5,3
theta > beta > eta > eta > theta > eta > beta > zeta > theta > eta > eta,0,0.0,3
eta > eta > eta > alpha,1,4.428,3
beta > eta,8,60.645333333333305,25
eta > epsilon,1,3.1039999999999996,2
alpha > eta > eta,1,4.4,3
alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,2,12.649706,7
beta,2,12.945,5
iota > iota > iota > iota > iota > iota,1,2.8960000000000004,2
beta > iota,1,1.5,3
iota > iota > iota > alpha > iota > kappa,3,14.097999999999999,9
iota > iota > alpha > alpha > alpha,1,2.465,6
alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > iota > alpha > beta > alpha > epsilon > alpha > alpha > alpha > alpha > alpha,1,13.3,3
alpha > alpha > lambda > kappa,3,6.3,10
iota > beta > iota > iota,1,4.717,2
beta > beta > theta > theta,1,6.086,2
iota > iota > iota > alpha > lambda > alpha > alpha > alpha > alpha > alpha > alpha > alpha > lambda > alpha > lambda > epsilon > alpha,1,1.4240000000000002,2
beta > beta > iota > iota > iota > eta,1,4.196000000000001,2
eta > eta > iota > iota > eta,0,0.0,3
eta > iota,1,2.2,3
iota > iota > iota > iota > gamma > iota,1,15.907,3
iota > iota > iota > eta > iota > eta > eta > zeta > iota > zeta,1,4.02,2
iota > iota > iota > zeta > iota > theta > epsilon > epsilon > iota,0,0.0,2
iota > iota > beta > beta > eta > eta,1,2.224,2
iota > alpha > theta > alpha > alpha > theta > alpha > alpha > alpha > alpha > theta > alpha,0,0.0,3
theta > alpha > theta > theta > alpha > alpha > theta,1,1.3,2
beta > theta,2,10.744000000000002,5
eta > eta > eta > eta > beta > theta,1,4.8,3
beta > theta > theta,0,0.0,2
eta > eta,1,8.402999999999999,3
beta,1,1.4769999999999999,3
beta > iota,1,3.605,3
iota > theta > beta > lambda,1,10.2,2
beta > beta > beta > beta > eta,0,0.0,2
iota > iota > alpha > iota > iota > iota > iota > iota > iota > iota > zeta > iota > iota > iota,1,2.142,3
eta > eta,0,0.0,3
eta > iota > iota > eta > alpha,1,2.81,2
iota > zeta > lambda,1,3.569,2
eta > alpha,0,0.0,3
beta > iota > beta > iota > iota > iota > iota > iota > iota > iota,2,12.088,5
eta > alpha > alpha > alpha > alpha > eta,2,11.384,6
beta > beta > beta > theta,1,4.495,2
iota > theta > alpha > iota > iota > theta,3,13.812999999999999,8
beta > beta > eta,3,36.1275,11
beta > beta > iota > beta > beta > alpha > beta > alpha > alpha > lambda,1,3.06,3
eta > alpha > eta > eta > eta > eta > eta > eta > eta > eta > epsilon > alpha > iota > eta,1,2.028,3
kappa > eta,1,4.281000000000001,2
eta > beta > eta > iota > eta,1,2.58,3
beta > beta > eta > beta > eta > beta > eta > beta > eta > eta,1,4.25,3
beta,1,2.562,3
beta > eta,1,2.775,2
theta > alpha > alpha > kappa > theta,5,20.16,15
eta > iota,1,4.109,3
iota > iota > alpha > iota > alpha > alpha > lambda > lambda > lambda,1,4.2860000000000005,5
eta > theta > alpha > eta > eta > eta,1,1.251,3
iota > iota > iota > iota > iota > lambda > lambda > iota > alpha > zeta > alpha > alpha > alpha > alpha > zeta > zeta > alpha > alpha > alpha > lambda,1,6.8,3
eta > alpha,1,6.335,3
iota > lambda > iota > lambda > lambda > lambda,1,15.046,2
iota > iota > iota > eta,0,0.0,3
beta > beta > eta,0,0.0,2
eta,1,7.04,3
alpha > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,2.8,2
iota > iota > eta > iota,1,10.002,3
beta > beta > beta > eta > beta > theta > beta > eta > beta,1,2.498,3
alpha > alpha > lambda > alpha > eta > alpha > lambda,1,1.55,3
beta > beta > iota > eta > eta > alpha,1,2.72,2
eta,1,4.521,2
eta > lambda,0,0.0,2
beta > beta > iota > beta > theta > iota > alpha > theta,1,0.62,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > theta > beta > beta > eta > alpha,1,8.113,2
theta > iota > beta > beta > beta > iota > eta > eta,1,7.007999999999999,3
eta > alpha > alpha,1,4.466,2
theta > eta > alpha > eta > alpha > theta > eta > iota > alpha > alpha > theta > alpha > alpha > alpha,1,3.6,2
iota > beta > beta > alpha > beta > beta > beta > beta,1,1.905,2
eta,0,0.0,3
iota > iota > alpha > iota,1,4.897,2
beta > iota > iota > iota > theta > theta > iota > iota > theta > iota > beta > eta > beta > epsilon > iota > eta > eta > eta > eta > eta > eta > eta > eta > zeta > epsilon > beta > theta > eta > theta > iota > beta > eta,1,6.141,2
beta > beta > eta > iota > eta,1,4.32,3
theta > alpha > beta > iota > iota > beta > theta > iota > beta > beta > beta > beta > theta > alpha > iota > iota > eta > eta > alpha,1,2.279,3
eta > alpha > eta > alpha > alpha > alpha > theta > alpha > alpha > eta > alpha > alpha > eta > alpha > alpha > alpha > alpha > epsilon > eta > alpha > alpha > alpha > eta,1,2.2030000000000003,2
eta > epsilon,1,2.0,2
alpha > iota > iota > iota > beta > iota > alpha > alpha,1,3.0610000000000004,3
beta > alpha > eta > beta > iota > theta,1,1.751,2
eta > beta > eta,1,4.007,3
eta,1,1.857,2
theta > eta > eta > theta > theta > eta > theta > eta > eta > eta > theta,0,0.0,3
eta > theta,1,2.924,2
iota > iota > iota > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,2,4.9719999999999995,6
eta > theta,1,2.18,3
theta > iota > iota > iota > iota > epsilon,1,8.082,3
alpha > beta > beta > alpha > beta > alpha > alpha > epsilon > theta > beta > theta,1,1.14,3
gamma > gamma > alpha,1,3.117,3
eta > kappa > kappa > iota > kappa > iota > iota > alpha,1,2.89,2
beta > eta > beta > beta > eta > eta > iota > eta > iota > eta > beta > iota,1,2.523,2
eta,0,0.0,3
eta > eta,2,7.899,5
beta > iota > iota > eta > kappa > epsilon > kappa,0,0.0,3
iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > eta > beta > iota > iota > iota > iota > iota > iota > iota > iota > beta > iota > iota > beta > iota > iota > iota > iota > iota > iota > iota > alpha > iota,1,2.715,2
lambda > lambda > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,0,0.0,2
iota > iota > iota > iota > iota > iota > iota,0,0.0,3
beta > eta,1,3.8225,6
eta > zeta > iota > beta > alpha,1,3.139,3
theta > alpha > lambda > theta > iota,1,2.45,3
beta > alpha > beta > alpha > eta,0,0.0,2
iota > zeta > iota,2,6.20466666666667,9
iota > iota > iota,1,1.885,2
iota > iota > theta > theta,1,1.34,2
eta > eta,1,5.397,2
iota > beta,1,14.099,2
iota > iota > iota > iota > iota,0,0.0,2
gamma > eta,1,2.773,2
iota > iota > iota > iota > iota > zeta > zeta > iota > iota > iota > iota > iota > iota > iota > iota > iota,1,5.311,2
beta > eta > iota > beta > eta,0,0.0,3
eta,1,11.24,2
beta > alpha > eta > beta > eta > epsilon > eta,1,4.42,3
iota > iota > iota > alpha > epsilon > iota > epsilon > epsilon > epsilon,0,0.0,2
iota > beta > eta,1,2.812,3
beta > beta > beta > beta > eta,1,2.6719999999999997,3
eta > eta,1,1.26,3
beta > iota > beta > iota > iota > beta > beta > alpha > alpha > iota > alpha > beta > alpha > beta > alpha > lambda,2,14.34,6
beta,2,4.409,6
theta > eta,1,4.368,2
iota > beta > beta,1,5.857,3
iota > iota > alpha > eta,1,4.742,3
iota > iota > iota > eta > iota > eta > alpha > iota,1,0.8,3
iota > iota > eta,1,3.602,3
eta > eta > eta > eta > eta,1,5.432,3
lambda,109,409.749433823529,369
iota > beta > alpha,1,3.4,3
iota > iota > beta > theta > theta,0,0.0,3
eta > alpha > eta > epsilon,0,0.0,2
gamma > alpha > alpha > alpha > alpha > alpha > alpha > gamma,0,0.0,2
theta > beta,1,1.875,3
iota > iota > iota > zeta,2,4.553,5
eta > alpha,0,0.0,2
eta,19,59.84715,51
theta > epsilon > theta,4,13.465,13
beta > eta > alpha,0,0.0,3
iota > alpha > alpha,162,805.932529411765,550
lambda > lambda > beta > lambda > beta,0,0.0,3
alpha > alpha > alpha > alpha > gamma > alpha,0,0.0,3
iota > iota > iota > iota > iota > iota > iota > alpha,1,4.163,3
alpha > iota > alpha > alpha > iota > iota > alpha > alpha > iota,0,0.0,2
beta > theta > beta > beta > eta > theta > eta > alpha > eta > eta > kappa > epsilon,0,0.0,2
alpha > iota > beta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,5.8260000000000005,3
iota > eta,1,0.813,2
iota > iota > eta,1,2.6,2
theta > theta > alpha > theta > alpha > alpha > theta > alpha > alpha,1,4.713,6
beta > epsilon,1,2.5780000000000003,3
iota > beta > iota,1,4.917,3
iota > theta > iota > iota > alpha > iota > lambda > lambda > epsilon > iota > zeta > alpha > alpha > theta > lambda > iota > iota > iota > lambda > alpha > theta > alpha > epsilon > alpha > lambda > lambda > alpha > lambda > alpha > lambda > theta,1,2.17,3
theta > theta > theta > theta > alpha > theta > theta > alpha > alpha > epsilon,1,1.923,2
beta > beta > beta > beta > beta > beta > beta > eta > beta > eta > beta,0,0.0,2
eta,1,0.1,3
eta,1,7.271,2
alpha > iota > gamma,1,2.86,3
iota > alpha > iota > zeta > alpha,1,6.234,6
beta > eta > alpha,1,4.95,2
lambda > zeta > lambda > lambda > lambda > zeta > lambda > zeta > alpha > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > epsilon > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > iota > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > iota > lambda,1,4.238,2
iota > iota > iota > iota,1,1.744,2
eta > zeta > lambda > eta,1,7.14,2
theta > theta > theta > theta > epsilon,0,0.0,5
iota > iota > theta > beta > alpha > alpha > alpha,0,0.0,2
eta > beta > beta > beta > eta,1,2.68,3
alpha > zeta > beta,1,5.709,2
iota > alpha > kappa > kappa,1,5.814,3
eta,1,3.247,2
alpha > beta > beta > iota > beta > beta > alpha > iota > beta > beta > alpha > alpha > alpha > beta > iota > beta > epsilon > beta,1,1.7269999999999999,3
iota > beta > beta > beta > beta > epsilon > iota > iota > theta > iota,1,3.36,3
lambda > alpha > alpha > alpha > alpha > alpha > alpha > theta,1,1.87,2
eta > theta,1,1.5,3
iota > eta > eta,1,2.82,2
eta > eta,1,0.85,2
iota > alpha > iota > theta > iota,1,6.34,2
eta > alpha > alpha > alpha > eta,1,2.05,3
beta > eta,0,0.0,3
eta > eta > eta > eta > eta > eta > eta > eta > iota,1,10.28,2
iota > eta > eta > eta > alpha,1,3.0,2
beta > beta > theta > eta > alpha > alpha > alpha,1,6.36,3
iota > zeta > iota > iota > zeta > iota > eta > iota > iota > iota > zeta > iota > iota > iota > theta,1,1.254,2
eta,12,54.45525,43
beta > eta > kappa,1,2.477,3
eta > eta > kappa > eta > kappa > eta > epsilon > kappa,1,2.441,2
iota > beta > beta > eta > epsilon > epsilon > iota > alpha,1,0.84,3
eta,0,0.0,2
beta > beta > gamma,1,5.15,2
iota > iota > eta > iota > eta,1,8.521,2
theta > alpha > theta > eta > iota > theta,1,2.3,2
eta > epsilon > eta,1,0.94,3
iota > lambda > lambda > epsilon,1,2.734,2
beta > beta,0,0.0,2
eta > eta,1,2.199,2
iota > beta > beta > iota > iota > iota,1,6.7,2
iota > lambda > lambda > iota > iota > iota > alpha,1,0.9279999999999999,2
eta,1,3.255,3
beta > eta > alpha > eta,1,11.579,2
iota > iota > eta > iota > eta > iota > eta,1,2.4290000000000003,2
eta,1,10.523,3
beta > iota > eta,0,0.0,3
eta,2,4.532,6
beta > eta,1,2.99,3
eta > iota,1,1.594,2
eta > alpha > eta > alpha > alpha > alpha > alpha > eta > alpha > alpha > alpha > eta > alpha > eta > alpha > alpha > eta > eta > alpha > alpha > eta > eta > alpha,1,2.31,2
iota > iota > beta > beta > iota > iota > iota,1,9.2,3
beta > alpha > epsilon,1,3.092,2
iota > beta > eta > beta > beta > eta,1,3.282,3
iota > beta > iota > iota,1,1.874,3
theta > gamma > iota > theta,1,2.835,3
iota > eta > beta > beta > iota > iota > beta > iota > beta > beta > alpha > iota > iota > beta > alpha > eta > eta > iota > beta > beta > eta > iota > eta > eta > alpha > eta,1,3.65,2
theta > epsilon > eta > epsilon,1,2.65,2
iota > iota > beta > theta > theta > beta > epsilon,0,0.0,3
beta > beta,1,2.9,3
iota > iota > eta > zeta > iota > iota > alpha,1,2.0,3
eta > alpha > theta > alpha,1,3.484,3
eta > alpha,0,0.0,2
theta > eta > eta,1,3.3960000000000004,5
gamma > lambda > gamma > iota > lambda > lambda > iota > lambda,3,17.465,9
eta,1,13.128,2
iota > iota > iota > theta > lambda > lambda > alpha > lambda > alpha > lambda > alpha > beta > beta > theta,1,12.709000000000001,2
iota > iota > iota > beta > theta > lambda > theta,1,2.932,2
eta > alpha,0,0.0,3
beta > eta > kappa,1,4.35,2
iota > iota > iota > iota > iota > alpha > iota > iota,1,4.2,2
theta > eta > eta,1,2.9330000000000003,2
iota > iota > iota > iota > eta,1,3.46,2
eta > eta > alpha > gamma > lambda > eta > eta > lambda > eta > eta > alpha,1,5.763999999999999,3
theta > theta > iota > alpha > iota > iota > iota > theta > iota,1,3.4,2
eta,3,5.2410000000000005,8
alpha > alpha > beta > alpha,1,3.36,2
iota > eta > alpha > iota > alpha > alpha > eta > iota > eta,1,5.15,2
beta > theta > beta > beta > eta > beta > beta > beta > eta > beta > theta > alpha > beta > eta > beta > eta > theta,1,7.702000000000001,2
beta > eta,1,5.6,3
zeta > zeta > zeta > iota > zeta > zeta > alpha > zeta,1,2.3,3
beta > theta > theta > beta > eta > theta > beta > theta > beta > eta > theta > beta > eta,0,0.0,2
beta > alpha > lambda,1,5.3,3
eta > epsilon,1,3.57,3
beta > iota > iota > iota > iota > iota > eta > eta > iota > iota,1,1.35,2
gamma > alpha,1,22.372,2
beta > theta,1,1.415,3
beta > beta > eta > lambda,1,4.378,3
theta > theta > lambda > lambda > lambda > iota > lambda > eta > alpha > lambda,1,5.9,3
eta > eta,1,3.2,2
beta > beta > iota > alpha > eta > eta > eta > eta > eta > eta > alpha > eta > alpha,0,0.0,3
beta > beta,1,2.76,3
beta > eta > beta > beta > beta > eta,1,8.925,3
theta > eta > theta > iota > iota > beta > kappa,1,3.304,3
theta > theta > alpha > alpha > lambda > theta > theta > alpha > epsilon,0,0.0,2
beta > beta > beta > alpha > alpha > alpha > alpha > alpha > iota > iota > alpha,1,6.602,2
beta > beta > eta > beta > beta > eta > eta > beta,1,2.798,2
beta > iota,1,1.8,2
beta > iota > alpha,1,3.61,2
kappa > eta,1,3.844,2
iota > iota > iota > iota,1,1.172,2
iota > beta > iota > iota > beta > beta > beta > beta > gamma,1,9.243,3
alpha > alpha > iota > iota > beta,1,2.463,2
beta > eta > alpha > theta > beta,0,0.0,2
beta > beta > beta > beta > beta > eta > alpha > beta > eta,1,8.692,3
iota > iota > beta > eta,0,0.0,3
beta > iota > lambda,1,2.4659999999999997,2
iota > iota > lambda > lambda > lambda > lambda,1,2.13,2
epsilon > epsilon > alpha > alpha,8,27.9552,33
eta > eta > eta > eta,1,3.465,2
eta > eta > epsilon > eta > eta > epsilon > epsilon > eta > eta,1,2.983,3
beta > beta > beta > beta > beta > beta > beta > eta > epsilon > iota > iota > theta > iota > iota > zeta > lambda > beta > eta > epsilon,1,3.52,3
theta > iota,9,42.973,25
lambda > alpha > kappa > alpha > alpha > eta,1,0.731,2
beta > alpha > alpha > beta > beta > beta > beta > beta > alpha > alpha > eta > beta > alpha > beta > eta > beta > eta,1,2.01,2
eta > eta,1,2.4419999999999997,2
beta > theta > alpha,1,1.484,3
iota > beta > beta > kappa,1,0.7,3
eta,1,2.292,2
eta,1,4.277,2
beta > iota > beta > beta > beta > beta > zeta > beta > zeta > alpha > iota > iota > alpha > eta > beta > eta > eta > eta > eta > iota > beta > beta > alpha > eta,1,2.6,3
eta > theta,1,3.372,3
beta > beta > beta > iota > iota,0,0.0,3
beta > eta > beta > eta,1,11.609000000000002,3
iota > iota,1,1.7035,5
beta > eta,0,0.0,2
iota > eta > eta,1,3.6,3
beta > eta,2,13.269666666666698,17
eta > alpha > alpha,0,0.0,5
beta > eta > iota > epsilon,1,1.099,2
theta > eta,1,4.16,3
beta > eta,1,5.22,3
iota > iota > eta,1,6.91,2
iota > lambda > lambda > theta > theta > alpha,1,5.56,3
eta > beta > eta > alpha > iota > eta,1,4.803999999999999,3
beta > beta > beta > beta > eta > beta > eta,0,0.0,3
beta > beta > beta > eta,1,2.6,3
beta > theta,1,1.4,3
eta > alpha > iota > eta > alpha,1,3.3,2
lambda > alpha > alpha > iota > alpha > alpha,1,1.9,2
iota > iota > beta > eta > beta > eta > beta > beta > beta > beta > beta > eta > beta > beta > eta > beta > eta > beta > beta > eta,1,6.667999999999999,2
alpha > beta > eta > eta > iota > eta,1,5.022,3
eta > epsilon > eta,1,2.763,2
alpha > iota > theta > zeta > iota,0,0.0,3
iota > iota > beta > eta > lambda > beta > iota > beta > eta,1,6.739,2
theta > eta > theta > zeta > alpha > lambda,1,4.163,2
eta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,2.015,2
eta > alpha > eta > beta > eta > alpha,0,0.0,3
beta > beta > iota > eta > eta,0,0.0,2
iota > iota > beta > beta > iota > theta > iota,1,6.881,3
iota > iota > iota > lambda,1,4.218,3
theta > iota > eta > eta > eta > eta > eta > eta > eta,1,2.19,3
eta,1,0.5539999999999999,2
eta > theta,1,3.3,3
